price,rooms,bed,bath,car,land,lat,long
1480000.0,2,2.0,1.0,1.0,202.0,-37.7996,144.9984
1035000.0,2,2.0,1.0,0.0,156.0,-37.8079,144.9934
1465000.0,3,3.0,2.0,0.0,134.0,-37.8093,144.9944
850000.0,3,3.0,2.0,1.0,94.0,-37.7969,144.9969
1600000.0,4,3.0,1.0,2.0,120.0,-37.8072,144.9941
941000.0,2,2.0,1.0,0.0,181.0,-37.8041,144.9953
1876000.0,3,4.0,2.0,0.0,245.0,-37.8024,144.9993
1636000.0,2,2.0,1.0,2.0,256.0,-37.806,144.9954
300000.0,1,1.0,1.0,1.0,0.0,-37.8008,144.9973
1097000.0,2,3.0,1.0,2.0,220.0,-37.801,144.9989
700000.0,2,2.0,2.0,1.0,0.0,-37.811,145.0067
1350000.0,3,3.0,2.0,2.0,214.0,-37.8085,144.9964
750000.0,2,2.0,2.0,1.0,0.0,-37.8078,144.9965
1172500.0,2,2.0,1.0,1.0,195.0,-37.8084,144.9973
441000.0,1,1.0,1.0,1.0,0.0,-37.8016,144.9988
1310000.0,2,2.0,1.0,2.0,238.0,-37.809,144.9976
1200000.0,3,3.0,2.0,1.0,113.0,-37.8056,144.993
1176500.0,3,2.0,1.0,1.0,138.0,-37.8021,144.9965
955000.0,3,3.0,1.0,0.0,183.0,-37.8022,144.9975
890000.0,2,2.0,1.0,1.0,150.0,-37.8011,145.0004
1330000.0,4,4.0,2.0,2.0,780.0,-37.8073,144.9952
900000.0,3,3.0,2.0,2.0,0.0,-37.8093,144.9959
1090000.0,3,3.0,2.0,2.0,4290.0,-37.8078,144.9965
500000.0,2,2.0,1.0,1.0,0.0,-37.8015,144.9972
1100000.0,2,2.0,2.0,1.0,124.0,-37.8079,144.9977
1315000.0,2,2.0,1.0,0.0,147.0,-37.808,144.994
426000.0,1,1.0,1.0,1.0,0.0,-37.8016,144.9988
1447500.0,3,3.0,3.0,1.0,166.0,-37.8017,145.0001
457000.0,1,1.0,1.0,1.0,0.0,-37.8078,144.9965
1135000.0,2,2.0,2.0,2.0,98.0,-37.8005,144.9952
1542000.0,4,4.0,3.0,1.0,0.0,-37.7994,144.9965
1290000.0,3,3.0,2.0,2.0,147.0,-37.805,144.9943
1290000.0,3,3.0,1.0,1.0,168.0,-37.8007,144.9958
470000.0,1,1.0,1.0,1.0,0.0,-37.8055,144.9961
1180000.0,2,2.0,1.0,0.0,162.0,-37.8016,144.9956
1195000.0,3,3.0,2.0,1.0,120.0,-37.8022,144.9954
1012500.0,2,2.0,1.0,0.0,182.0,-37.8021,144.9976
1030000.0,2,2.0,1.0,1.0,172.0,-37.8086,144.9946
840000.0,3,3.0,2.0,1.0,303.0,-37.718,144.878
730000.0,3,3.0,2.0,1.0,0.0,-37.7203,144.8755
770000.0,3,3.0,2.0,1.0,0.0,-37.7203,144.8755
603000.0,2,2.0,1.0,1.0,272.0,-37.7294,144.888
700000.0,3,3.0,2.0,2.0,239.0,-37.7218,144.8837
600000.0,3,2.0,1.0,1.0,290.0,-37.7273,144.8744
500000.0,2,2.0,1.0,1.0,168.0,-37.7215,144.8864
720000.0,3,2.0,1.0,1.0,620.0,-37.7173,144.8872
785000.0,4,3.0,1.0,2.0,597.0,-37.7259,144.8792
725000.0,6,6.0,3.0,2.0,976.0,-37.7239,144.8735
450000.0,2,2.0,1.0,1.0,110.0,-37.7216,144.871
515000.0,2,2.0,1.0,1.0,141.0,-37.7298,144.8883
530000.0,2,2.0,1.0,1.0,120.0,-37.7234,144.8792
895000.0,3,3.0,1.0,6.0,1063.0,-37.7249,144.8728
805000.0,3,3.0,1.0,1.0,0.0,-37.7217,144.8783
752000.0,3,3.0,1.0,1.0,265.0,-37.7302,144.8855
440000.0,2,2.0,1.0,1.0,192.0,-37.7177,144.8787
755000.0,5,3.0,2.0,2.0,596.0,-37.7248,144.8699
700000.0,3,3.0,2.0,2.0,165.0,-37.727,144.887
830000.0,3,3.0,1.0,2.0,971.0,-37.7186,144.876
462500.0,2,2.0,1.0,1.0,164.0,-37.7218,144.8863
670000.0,3,3.0,2.0,2.0,657.0,-37.7269,144.8742
675000.0,2,2.0,1.0,1.0,612.0,-37.7187,144.8765
1042000.0,3,3.0,2.0,5.0,612.0,-37.7173,144.8796
